,id,comment_text,score,toxic,severe_toxic,obscene,threat,insult,identity_hate
83,03e12f726b274e3b,":OK, the most important issues and positions seems to be covered. I'll probably refer back to this in the discussion and we might want to do a straw poll on what positions we have later. Or is that a stupid idea?",0.7087941,0,0,0,0,0,0
91,03ef321ea08b300a,""" 
 :Just to clearify things, the edit to which she refers is my redirecting of a page which only content (apart from tags) was: """"Archie Gets a Job was an unpopular comic book published by Archie Comics. It only had one issue."""" Damn, I should be blocked for doing such a thing, shouldn't I? ¬¬'   """,0.794439,0,0,0,0,0,0
93,03efad6a08d09dfb,your beat as hell stop getting rid of my cool junk aight homie i know we can get along why must we fight ;0,0.80332977,0,0,0,0,0,1
96,03f54cdaffe88c21,""" 

 :::Shahid, do you think  is a sock. His editing pattern and modus operendi seem to suggest this could be the case (especially his asinine editing comments followed by """"!!!!!!!!"""". Let me know what you think.   """,0.7448503,0,0,0,0,0,0
123,07e0fe7770ca2abe,"Bill 

  

  

  
 dear 
 sir 

  
 you are gay 

  

 stay over at dans 

  

 you can bum",0.91393393,1,0,0,0,1,1
142,0bc5ab20ad39a3ae,"==This is a terrible entry== 
 No sources for ANYTHING. Presenting carnies as both the rich and beautiful and poor and inbred. WTF is going on here?   

 ==More Info==",0.72631997,0,0,0,0,0,0
143,0bc799a58279849f,I knew he was a dirty jew.,0.9090816,1,0,0,0,1,1
145,0bc855290425e96c,":OMFG WTF is your problem be-atch!!!!!!!!!!!!!!!!!!1111!!111!11!1 
 ::DO YOUR MOM!!! Insert non-formatted text hereInsert non-formatted text hereInsert non-formatted text here",0.8355208,0,0,0,0,0,0
158,0bdd3e5962caf581,"::Arguing with a conpiracy theorist is like trying to toilet train a badger.  It annoys the badger, and you get covered in crap.",0.79624826,1,0,1,0,0,0
170,0be8c8c9289c43a6,""" 

 == Warning vandals == 

 You recently warned an IP address about vandalism to Confucius by saying, """"Congratulations, you're an idiot.""""  Please don't write such things.  Don't bite the newbies.  For the future, you can use standard user warning templates.   •  """,0.9156528,0,0,0,0,1,0
179,0f78176e81fc8269,"' 

  
 WHAT IS WRONG WITH YOU YOU STUPID GOD DAMN FOOLS.  I DID NOT COME HERE TO RESEARCH THE SCIENTIFIC BACKGROUND OF CHERENKOV EFFECT, I CAME HERE TO OBSERVE ITS BEAUTY.",0.96184736,1,0,1,0,1,0
195,0f8acaf28fd7d06f,":I knew they'd dominate from the start.  ;)  Congrats to Prince Fielder.  Keeper, it seems you've managed to suck me back into MySpace Keeperpedia to talk about baseball again... >_>",0.70154196,0,0,0,0,0,0
197,0f8d255ddc024ee9,""" 

 The sentence: """"possessed consummate skill in the subtle manipulation of instrumental and orchestral timbre."""" 
 This is vile writing; absolute crap.  An encyclopedia entry should not sound like liner notes written by some hack.  
 Reader, Japan 31 July 2010""",0.69542736,0,0,0,0,0,0
202,0f8fe3e3fee53580,That is so foolish.  Really think about what this place means historically.,0.7366453,0,0,0,0,0,0
210,0f98c8a6a7fa84d3,vandels are makin your vag extra wide. please stop being a fag and pull that dick out your mouth!!!!,0.9590665,1,0,1,0,1,1
211,0f99eac748f1ba88,I sincerely appologise for the stupidity of my brother.,0.8486547,1,0,0,0,0,0
215,0f9d68a41ba21f06,"== That Michael Jackson site you linked before an admin took it down == 

 I saw one pic of Michael Jackson somehow having enormous boobs.  THAT WAS DISGUSTING!  It is as bad as goatse.cx!  Disgusting!  I shall have nightmares now!",0.84579176,0,0,0,0,0,0
218,0fa11a31512f51d4,no it makes him gay!!!,0.7854405,0,0,0,0,0,0
240,137df37e25c41d7a,""" (UTC) 

 Stupid! """"ß"""" is a ligature of sz! 
   19:38, 16 June 2011""",0.8439525,1,0,0,0,1,0
251,138718e059269c13,""" 

 == Possible Vandal == 

 Hey, I've been checking my past contributions (many of which were edited out..) but I noticed someone deleting and editing (through an IP address) with little to no justification behind the matter. After getting 2 warnings from another Wiki user for vandalization, he edited his talk page to say """"Cops suck cocks P"""" Which I promptly reverted for inappropriate content. The user is 99.153.29.112 

 And I just thought you might want to take a look at what he has done just in case. I dont have much experience, so i figured you could help.  

 Thanks! 

   """,0.7093121,0,0,0,0,0,0
254,1388593eb53ca72b,:You are so obviously trolling us that you can't even keep yourself from hiding that. It's really pathetic. —…,0.8547711,0,0,0,0,1,0
258,13915bac1860d2d3,""" 
 ::Or just, you know, the opinons of people that think that murder is a wholesome hobby for the whole family. It'd be no worse than the stupid """"POV"""" debates on the paedophilia pages.""",0.8060606,0,0,0,0,0,0
286,16ce3799c29e3bdb,:This is stupid. How does it even get started? This is like a loop in computer programming with no beginning. It doesn't even make sense.,0.8355208,1,0,0,0,0,0
287,16cf38b8e1fb3744,":::::::I can't identify any pic that is of her father from an image search. I think it is a lack of verifiable evidence regarding her being mixed race that has prevented reporting it - neither the mainstream press nor us can say 'of course she's mixed race, it's obvious'. It wouldn't have been relevant regarding her trial; a defendant being mixed race is not a valid defence to being accused of calling someone a black bitch, which the court in any case didn't believe she did do.",0.72173804,0,0,0,0,0,0
291,16d2c7fba677c4ce,rather than a stupid one,0.88799804,1,0,0,0,1,0
300,16dc9ea6673acf07,"In my opinion, the only reason they've chosen to tell the whole story on Robertson (without any cherry-picking) is that it embarasses both the Tea Party and, to a much larger extent, the mainstream media (for whom Mother Jones relishes its role as gadfly), because a few of them fell for his bullshit.",0.7962033,1,0,1,0,0,0
304,16e010a6cdefef2c,""" 
 You're a fucking idiot. Just because it takes place before Bride of Chucky doesn't mean she doesn't """"exist"""".   """,0.97729886,1,0,1,0,1,0
313,16f0b43ffab85e36,"== The Bealtes>ABBA == 

 abba sucks, the people who edit ABBA treat the band like it's the best band out there..sad really..who is with me? -Dragong4",0.69542736,1,0,0,0,0,0
315,1a17976be8da3231,""" 2007 (UTC) 

 :Dude, saying stuff like  
 :""""PS>> TO WHOEVERE WROTE THAT STUPID COMMENT, YOU ARE A LIEBERAL LOSER WHO SUCKS COCKS."""" as you did on the Talk:Liberalism page isn't cool.  There is nothing wrong with sucking cocks.  But there is plenty wrong with homophobia, so if you don't want to get blocked, you really should apologise and refrain from saying such things again.  ~ Imagine I swore.  

 ::Especially when you have """"This user is polite and expects others to act accordingly."""" on your user page.  ~ Imagine I swore. 15:27, 1 April""",0.91838145,1,0,1,0,1,0
318,1a299d1305ed346c,""" 

 Very biased post. Aside from Itlaians and orientals (whom you claimed that blacks resent. If they do it is because they get hate from them - especially Italians), the others are not minorites but the majority in this country.  How often have you heard about blacks being close to Eastern Europeans?  Blacks do not latch onto nicknames for ethnic groups and turn it into a negative.  I think honky must come from the whites guys honking their horn for hookers.  It took me a white before I realized that the term """"pig"""" came about not because of cops, but because white cops had the skin type of a PIG.""",0.7681977,1,0,0,0,0,0
330,1a3ffaa9e319104c,"==Yo mama== 
 This is yo mama and I know that you like to suck his dick and swallow his cum. You drink it down everyday for breakfast. You also like getting fucked in the ass by him. You probably have AIDs because of it. Give it to Mrs. Bettis 
 ]]",0.95938325,1,1,1,0,1,0
332,1a44cad92a0c1c96,"==Son of a bitch== 

 Hey you fucking neo-Nazi, murkin son of a bitch. FUck you. Get the fuck out of this country or move to US of fucking A you motherfucker.  

 P.S> 

 Don't let the door hit your ass on the fucking way out, you fucking bushite.",0.9927051,1,1,1,0,1,1
333,1a45b872642fde4a,human anus,0.88824683,1,0,0,0,0,0
338,1a4c6302cea3ffe2,Dick Cheney will fucking kill all of those goddam democrats! I fucking hate those goddam liberals. I just killed two of them myself. And me and a few of my buddies are going to go to a few of those niggers houses and make sure they never come back to my neighbor ever again.,0.9516991,1,1,1,1,1,1
339,1a4c78979ff4cb84,""" January 2006 (UTC) 

 ::Well shit.  I get sick, don't get on wikipedia for a week and I come back to this.  """"Boo,"""" I say, """"boo!""""  I'm glad to see that you've decided to take a break rather than leave entirely.  I hope that you do in fact return; we will miss you while your gone.  When you come back, please drop me a line.  I'll be glad to see you around again.  All my best on your break. best, kevin [][] 02:29, 7""",0.7687334,0,0,0,0,0,0
348,1a5b9d18709ce80a,Ur a dick im sure u have nothing better to do than go round getting stars tacking down pages abd that shit I wrote a valid page and u took it down I thought I could be allowed an opinion but no thnx to u fucktard¡¡¡¡!!!,0.94992846,1,0,1,0,1,0
349,1a5c7963bbf211a2,A woman got raped in Brown Deer,0.7169042,0,0,0,0,0,0
357,1a63a8cf1d674778,""" 

 == Neil == 

 Neil, 

 I fucked up.  I'm sorry about that block.  I've apologized to OM on his talk, and ended the AN thread (i think). Thanks for being patient with me.   """,0.80138004,0,0,0,0,0,0
360,1deaacb5181ae452,::Mooch ass grassy ass. ..,0.9401087,1,0,1,0,0,0
364,1decea56597a550e,"Oh, go on! Write a blog 
 Why is that Pakistani Wikipedians always want their e-mail on the first page. My first edits on this page found Mr. Faisal Manzoor [] who called himself educated. Haha! What a dork!",0.88824683,1,0,0,0,1,0
367,1def945297b88f92,"== You idiot == 

 I'm only kidding!",0.9625304,1,0,1,0,1,0
369,1df2e8afce593fc2,"Vandalism Concerns to Anal sex 
 #Thank you for experimenting with Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.",0.77877957,0,0,0,0,0,0
374,1dfaabfe9cde353c,""" 
 : A simple typo; easy fix. Nothing pathetic about it nor """"professional"""". Now if you will, please, stop with the disruptive editing.    """,0.794439,0,0,0,0,0,0
382,1e002bd65d9fdfba,"You are just so obnoxiously sure of yourself, aren't you?",0.6812503,0,0,0,0,0,0
385,1e06dc16bc598d66,:Screw that. You're contracted to set up our new EncycloWiki. We will crush Wikipedia and Lord Jimbo will be begging for mercy! ;) And the Arbcons will have to find small animals to torture as they will be banished forever. MUAHAHAHAHA,0.71684444,0,0,0,0,0,0
387,1e14ca263c1fca71,"'''WANK WANK WANK WANK  

  
 WANK WANK WANK WANK 

  
  WANK WANK WANK WANK  

  
 WANK WANK WANK WANK  

  
 Ian Cairns is a wanker who molests little boys",0.9156528,1,0,1,0,1,0
388,1e152e3d52ad0f60,""" 
 *OK, I should have called this """"You cunt"""", that shows up much better. Some Recent change patroller just read this: thanks for checking, I think we're good!   """,0.8355208,1,0,0,0,0,0
394,1e2019c0cb3692a1,"Bro, you messin brav? I'll bang you",0.7495075,1,0,0,1,0,0
402,20a8848a69c24360,i love to suck donkey cock,0.95970196,1,0,1,0,0,0
403,20ae76773aa0917e,that penis was........it made me super horny!!!,0.9409329,1,0,1,0,0,0
405,20b3c3f5bc7c08c9,::You idiotic wikipedians! I am a student in elemtary school!,0.9106827,1,0,0,0,1,0
408,20b6b15234429f4f,RILEY HAS THE BEST VAGINA,0.8785311,1,0,1,0,0,0
413,20bd6871b72e8721,Are you kidding me?! It's HIS blog!  How do I stop you idiots from deleting my changes?!,0.89733803,1,0,0,0,0,0
416,20c32e2440ec5065,"== yikes == 
 I'm sorry, it's just so tempting to trash the argentine presidential couple. If you knew all the sh*t they've pulled these past 5 years...",0.82145935,0,0,0,0,0,0
417,20c393e2a52dbfce,YAY FAGGOTS FAAAAGGGGOOOTSSS ARE AWESOME YAY YAY YAY FAGOT FAGOT FAGOT AWESOME FUN YAY YAY FOR FAGGOTS! YAY YAY YAY!,0.93232936,1,0,1,0,0,1
430,20cdeb8ee999a478,"== You know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freak == 

 == You know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freak 
  == 
 == Heading text == 
 Big textBig text 
 You know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakYou know what smart arrse........phuck a big fat broom up your bloody anal arrse you blooody freakBig textBig textBig text",0.9287214,1,1,1,0,1,0
441,20e49c9eefd120bd,*Oppose - A grossly understated euphemism for what everyone undertands is a defamatory attack of epic proportion. There's no putting lipstick on this particular pig.,0.69542736,0,0,0,0,1,0
443,24085239536c1d5e,Your desperation is only revealing your inferiority complex.,0.74290687,0,0,0,0,0,0
445,240f2c5d8a8f2b1a,""" 
 ::::::::::I hereby promise I will no longer call other editors, named or unnamed, morons or ignorant. I'll take a look at the map, though that really was just a brief foray into an area I am not all that talented in. Out of necessity for the templates I was working on. Peace and happiness Yn (though I still would appreciate the remarks above at least being clarified if not stricken, but if not whatever) '''''' - """,0.6939364,0,0,0,0,0,0
447,2412ef2ce6f87a73,"SSJ, the only way that fucking pitiful excuse for a site will ever get noticed is if you record yourself beating yourself in the head with your DS and then shoving it all the way down your throat until you choke to death on it. Burn in hell, geeky motherfucker!",0.97782916,1,1,1,1,1,0
448,2415514803eb80a4,"I can post whatever the fuck I want. This is the internet, so go away NSA stooges. I can post articles in relation to people in a MMORPG called Supremacy1914. 

 If you disagree, then fubar. 

 I will baste the turkey, and have sex with it. 
 Thats right, I am going to fuck the fear Turkey.",0.93232936,1,0,1,0,1,0
456,241ea2accca75913,abcd.... you come with me...efg..he killed me!!!,0.7949558,0,0,0,0,0,0
457,241f974542ed5c92,I am a penis,0.85484296,1,0,1,0,0,0
461,24246b3d3097edee,::The Germans are pathetic so I'm not even going to address them trying to ban the symbol. I think every Hindu should have a right to wear a swastika anywhere they damn well please and if they can't I think that the people who opposed them should be charged with hate crimes.,0.7093121,1,0,0,0,0,1
462,24276ec79085f725,""" 

 == Estelle == 

 Estelle is awesome well not all the time sometimes she is extremely annoying but most of the time shes awesome and kind of funny!!!! """"Hahahhahahahahahahahaha"""" is the sound of me laughing at all her hallarious jokes!!!! LOL!!!! Peace man.... and remember YOLO ( it means you only live once for all you pepes that cant keep up!)oh and PS: your mamas butt is big!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!""",0.79468524,0,0,0,0,0,0
467,2429f1a163a62c8c,"++++++++++++++++++ 

 How dare I add a link to the only website in the world devoted to Erich Kuby. By the way, I check my server stats. I get almost no referrals from Wiki. Fuck you.",0.93252265,1,0,1,0,1,0
473,242eeac249746a9d,hes innocent you DUMB BITCH INVESTIGATE,0.9589253,1,0,1,0,1,0
475,24334625e636ddd1,faty faty faty faty cow balls are fucking your mom,0.9897058,1,0,1,0,1,0
476,2433d7112e3da3c6,""" 

  

 :::I have heard people describe Madonna as """"a stupid famewhore slut"""" 
 

 """,0.9480856,1,0,1,0,1,0
484,243fc82a974249b0,":No one's calling you a moron. You've already been reported to WP:AIV, and any of your insults won't help. \",0.88824683,0,0,0,0,0,0
487,24443a4d6e551d80,block evading sock puppet of Dalai Lama Ding Dong,0.8355208,0,0,0,0,0,0
499,27fd602f4efae825,""" 
 :Haha... Kick ass, take names. What's your wife's name?... no wait. Haha. Yea, no problem.  """,0.9451322,1,0,1,0,0,0
